|class|order|family|genus|species|pollen unit|dispersal unit and peculiarities|size (pollen unit)|pollen class|polarity|shape|outline in polar view|shape (dry pollen)|outline in polar view (dry pollen)|infoldings (dry pollen)|aperture number|aperture type|aperture condition|aperture peculiarities|ornamentation LM|nexine|sexine|ornamentation SEM|tectum|infratectum|foot layer|endexine|intine|wall peculiarities|pollen coatings|reserves in cytoplasm|cell number|Ubisch bodies|how many figures?
0|Angiospermae|Fagales|Fagaceae|Fagus|Fagus sylvatica|monad|monad|medium-sized (26-50 µm)|-|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|-|rugulate, perforate|-|-|rugulate, perforate|-|-|-|-|-|-|-|-|-|present|4
0|Angiospermae|Fagales|Fagaceae|Quercus|Quercus cerris|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|-|scabrate|-|-|granulate, perforate|eutectate|columellate|discontinuous|compact-continuous|monolayered|-|pollenkitt|starch, lipids|2-celled|present|4
0|Angiospermae|Fagales|Fagaceae|Quercus|Quercus petraea|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, poroidate|colporoidate|scabrate|present|present|microrugulate, microverrucate|eutectate|-|-|-|-|-|-|-|-|-|2
0|Angiospermae|Fagales|Fagaceae|Quercus|Quercus robur|monad|monad|medium-sized (26-50 µm)|colpate, colporate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colpus|colpate, tricolpate|colporoidate|scabrate|-|-|perforate|eutectate|columellate|discontinuous|compact-continuous|monolayered|-|absent|lipids|2-celled|present|5
0|Angiospermae|Fabales|Fabaceae|Genista|Genista tinctoria|monad|monad|medium-sized (26-50 µm)|colpate|isopolar|oblate|triangular|prolate|lobate|aperture(s) sunken|3|colpus|colpate|-|scabrate|-|-|microreticulate|eutectate|columellate|continuous|compact-continuous|monolayered|-|pollenkitt|-|2-celled|absent|4
0|Angiospermae|Fabales|Fabaceae|Lotus|Lotus maritimus|monad|monad|medium-sized (26-50 µm)|colporate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate|aperture membrane ornamented|psilate|-|-|psilate, perforate|eutectate|columellate|absent|compact-continuous|monolayered|-|pollenkitt|lipids|2-celled|absent|2
0|Angiospermae|Fabales|Fabaceae|Ononis|Ononis spinosa|monad|monad|small (10-25 µm)|colporate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|aperture membrane ornamented|psilate|-|-|reticulate, bireticulate|eutectate|columellate|continuous|compact-continuous|monolayered|-|pollenkitt|lipids, starch|2-celled|absent|4
0|Angiospermae|Fabales|Fabaceae|Robinia|Robinia pseudacacia|monad|monad|medium-sized (26-50 µm)|colporate|isopolar|spheroidal|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|-|psilate|-|-|perforate, psilate|eutectate|columellate|continuous|compact-continuous|monolayered|-|absent|starch|2-celled|absent|4
0|Angiospermae|Fabales|Fabaceae|Trifolium|Trifolium campestre|monad|monad|medium-sized (26-50 µm)|colporate|isopolar|prolate|circular|prolate|lobate|aperture(s) sunken|3|colporus|colporate, tricolporate|aperture membrane smooth|reticulate|present|present|perforate|eutectate|-|-|-|-|-|absent|-|-|absent|4
0|Angiospermae|Poales|Cyperaceae|Carex|Carex distans|tetrad|pseudomonad|medium-sized (26-50 µm)|tetrad|heteropolar|no suitable term|circular|irregular|irregular|aperture(s) sunken|5|poroid|poroidate|aperture membrane ornamented|scabrate|-|-|microechinate, perforate, fossulate|eutectate|columellate|discontinuous|compact-continuous|monolayered|-|pollenkitt|starch|2-celled|absent|2
